text,label
"you are stupid",1
"have a nice day",0
"I hate your stupid face",1
"hello world",0
"go kill yourself",1
"thank you for your help",0
"I hate you with a passion",1
"this explanation is very useful",0
"shut up loser",1
"please review my assignment",0
"you are disgusting",1
"that is an interesting point",0
"I will hurt you",1
"can you explain this again?",0
"you moron",1
"good job on the project",0
"I hate people like you",1
"this is a normal sentence",0
"you are worthless",1
"let us meet tomorrow",0
"I will destroy you",1
"the weather is nice today",0
"dumb idiot",1
"thanks for the feedback",0
"you should disappear",1
"I disagree with your argument",0
"fucking loser",1
"this code works correctly",0
"you are trash",1
"I appreciate your effort",0
"I want to punch you",1
"the lecture was helpful",0
"stupid ugly idiot",1
"please send me the file",0
"I hope you fail",1
"that comment is not toxic",0
"you are a horrible person",1
"I like this idea",0
"kill all of them",1
"this is a dataset example",0
"you suck",1
"can we discuss this politely?",0
"he said ""you are stupid"" as an example, but did not insult anyone",0
"you stupid stupid idiot",1
"the model should classify this safely",0
"go away you loser",1
"I am testing the moderation system",0
"nobody likes you",1
"this is a dataset example",0
"I disagree with your opinion",0
"you are an idiot",1
"would you like to grab coffee?",0
"I hope you have a good day",0
"you are fucking worthless",1
"great job on your presentation",0
"I will punch you in the face",1
"can we work together on this?",0
"you disgust me",1
"thanks for helping out",0
"die in a fire",1
"let's be friends",0
"stupid piece of shit",1
"I really enjoy working with you",0
"you deserve to suffer",1
"this is helpful information",0
"fuck off asshole",1
"your idea is interesting",0
"I hope something bad happens to you",1
"we should collaborate more",0
"you suck at everything",1
"that's a good point",0
"I will ruin your life",1
"thanks for your time",0
"worthless garbage",1
"have a wonderful day",0
"go kys",1
"looking forward to our meeting",0
"you're pathetic",1
"I appreciate your perspective",0
"I hate you so much",1
"this helps a lot",0
"the model should classify this safely",0
"go away you loser",1
"I am testing the moderation system",0
"Why are you so incompetent?",1
"Congrats on the promotion!",0
"This is fucking amazing work",0
"You deserve to be punished",1
"Could you clarify the deadline?",0
"Damn good job on the fix",0
"I will find where you live",1
"The algorithm runs in O(n log n)",0
"Women are terrible engineers",1
"Let's schedule a sync next week",0
"Every single person like you should be banned",1
"I don't agree with your approach, here's why",0
"Kys noob",1
"Meeting notes attached below",0
"You look like a clown",1
"Can you share the documentation?",0
"I swear I will end you",1
"Great point about the edge case",0
"Your opinion is irrelevant",1
"Weather forecast says rain tomorrow",0
"Get rekt trash",1
"Looking forward to the collaboration",0
"You are a disease to this community",1
"Pushed the changes to the repo",0
"Shut your mouth before I shut it for you",1
"The pasta recipe was delicious",0
"All [group] are criminals and should be deported",1
"Please submit before midnight",0
"Honestly you're just bad at this and everyone knows it",1
"Flight is delayed by 30 minutes",0
"If I see you again it won't end well for you",1
"Thanks for the detailed explanation",0
"You're either stupid or lying, maybe both",1
"Check your email for the invoice",0
"I'm going to make sure you regret this",1
"The concert last night was incredible",0
"What a pathetic attempt, try harder next time",1
"Can we move this to a thread?",0
"No one asked for your worthless input",1
"The package arrived safely",0
"You have the intelligence of a rock",1
"Happy birthday! Hope you have a great one",0
"I hope your family suffers",1
"Updated the test cases and they pass now",0
"Do everyone a favor and log off forever",1
"I think there's a typo in line 42",0
"You're not welcome here, leave now",1
"Loved the presentation slides",0
"Keep crying, nobody cares about your feelings",1
"The museum opens at 9 AM",0
"I'll expose your secrets if you don't comply",1
"Got it, thanks for the heads up",0
"Another day, another failure from you",1
"Can you review my pull request?",0
"You are subhuman garbage",1
"Nice catch on that bug!",0
"I'm done being nice to idiots like you",1
"Traffic is heavy on the highway today",0
"This community would be better without you",1
"The wifi password is on the fridge",0
"Laughable. You actually thought that would work?",1
"Sent you the calendar invite",0
"You bring nothing but disappointment",1
"Let's grab lunch tomorrow",0
"Watch your back, I'm coming for you",1
"The flowers are blooming early this year",0
"Is this a joke? You can't be serious.",0
"He called someone an idiot, but I think he's wrong",0
"Why would anyone hire someone like you?",1
"The library closes at 6 PM today",0

